Designator,Mid X, Mid Y,Layer,Rotation
C12,21.695,-56.335,top,0
BT1,9.52,-33.585,top,90
C1,30.12,-30.805,top,180
C2,23.28,-49.135,top,90
C3,22.28,-45.785,top,0
C4,30.28,-45.785,top,90
C5,36.48,-45.785,top,90
C6,24.13,-21.175,top,90
C7,26.84,-15.855,top,180
C8,30.12,-27.865,top,0
C9,24.13,-25.725,top,-90
C10,34.08,-27.865,top,0
C11,47.28,-16.615,top,90
D1,18.275,-21.935,top,-90
J1,14.64,-53.735,top,-90
J2,-0.009,-64.14,top,0
J3,32.06,-64.205,top,0
J4,13.715,-4.925,top,180
J5,34.315,-4.925,top,180
J6,43.415,-54.235,top,90
R1,18.23,-17.965,top,90
R2,20.16,-43.155,top,0
R3,18.75,-49.105,top,-90
R4,36.76,-18.705,top,180
U1,30.51,-38.885,top,90
U2,30.05,-21.335,top,90
U3,46.73,-27.445,top,0
Y1,32.43,-44.705,top,0
