Qty,Designator,Footprint,Vendor,Vendor part#,Manufacturer part#,Value,LibPart,,Datasheet,Manufacturer part#,Vendor,Vendor part#,manufacturer part#,vendor,vendor part#
1,C12,Capacitor_Tantalum_SMD:CP_EIA-3528-21_Kemet-B_Pad1.50x2.35mm_HandSolder, LCSC,C16133,TAJB107K006RNJ,C_Polarized_Small,Device:C_Polarized_Small,,https://datasheet.lcsc.com/lcsc/2111161030_Kyocera-AVX-TAJB107K006RNJ-_C16133.pdf,TAJB107K006RNJ, LCSC,C16133,,,
1,BT1,Battery:BatteryHolder_Keystone_1058_1x2032, LCSC,C964770,BS-06-B4AA015,CR2032,Device:Battery_Cell,,https://datasheet.lcsc.com/lcsc/2012311835_MYOUNG-BS-06-B4AA015_C964770.pdf,BS-06-B4AA015, LCSC,C964770,,,
9,"C1, C2, C3, C6, C7, C8, C9, C10, C11",Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder, LCSC,C49678,CC0805KRX7R9BB104,.1uF,Device:C_Small,, https://datasheet.lcsc.com/lcsc/1810101813_YAGEO-CC0805KRX7R9BB104_C49678.pdf,CC0805KRX7R9BB104, LCSC,C49678,,,
2,"C4, C5",Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder, LCSC,C1804,CL21C220JBANNNC,22pF,Device:C_Small,,https://datasheet.lcsc.com/lcsc/1810271113_Samsung-Electro-Mechanics-CL21C220JBANNNC_C1804.pdf,CL21C220JBANNNC, LCSC,C1804,,,
1,D1,LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder, LCSC, C2296,17-21SUYC/TR8,LED,Device:LED,,https://datasheet.lcsc.com/lcsc/1806151129_Hubei-KENTO-Elec-17-21SUYC-TR8_C2296.pdf,17-21SUYC/TR8, LCSC, C2296,,,
4,"H1, H2, H3, H4",MountingHole:MountingHole_4mm,,DNI,DNI,MountingHole,Mechanical:MountingHole,,~,,,,,,
4,"H5, H6, H7, H8",MountingHole:MountingHole_3mm_Pad,,DNI,DNI,MountingHole,Mechanical:MountingHole,,~,,,,,,
1,J1,Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical,,DNI,DNI,ICSP,Connector:Conn_01x05_Male,,~,,,,,,
1,J2,"TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-6_1x06_P5.00mm_Horizontal",digikey,DNI,DNI,joystick terminal,Connector:Screw_Terminal_01x06,,https://media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/1935161.pdf,1935161,digikey,277-1667-ND,,,
1,J3,"TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-4_1x04_P5.00mm_Horizontal",digikey,DNI,DNI,serial terminal,Connector:Screw_Terminal_01x04,,https://media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/1935161.pdf,1935161,digikey,277-1667-ND,,,
1,J4,serial_rtc.kicad:CUI_SDS-60J,digikey,DNI,DNI,DIN-6,serial_rtc:DIN-6-Connector,,http://www.mouser.com/ds/2/18/40_c091_abd_e-75918.pdf,SDS-60J,digikey,CP-2360-ND,,,
1,J5,serial_rtc.kicad:CUI_SDS-40J,digikey,DNI,DNI,DIN-4,serial_rtc:DIN-4-Connector,,https://www.cuidevices.com/product/resource/digikeypdf/sds-j.pdf,SDS-40J,digikey,CP-2340-ND,,,
1,J6,"TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal",digikey,DNI,DNI,power terminal,Connector:Screw_Terminal_01x02,,https://media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/1935161.pdf,1935161,digikey,277-1667-ND,,,
1,R1,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder, LCSC,,,330,Device:R_Small_US,,~,, LCSC,,,,
1,R2,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder, LCSC,C17540,0805W8F2000T5E,200,Device:R_Small_US,,https://datasheet.lcsc.com/lcsc/2206010200_UNI-ROYAL-Uniroyal-Elec-0805W8F2000T5E_C17540.pdf,0805W8F2000T5E, LCSC,C17540,,,
1,R3,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder, LCSC,C17414,0805W8F1002T5E,10K,Device:R_Small_US,,https://datasheet.lcsc.com/lcsc/2206010216_UNI-ROYAL-Uniroyal-Elec-0805W8F1501T5E_C4310.pdf,0805W8F1002T5E, LCSC,C17414,,,
1,R4,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder, LCSC,C17710,0805W8F4700T5E,470,Device:R_Small_US,,https://datasheet.lcsc.com/lcsc/2206010200_UNI-ROYAL-Uniroyal-Elec-0805W8F4700T5E_C17710.pdf,0805W8F4700T5E, LCSC,C17710,,,
1,U1,Package_SO:SSOP-28_5.3x10.2mm_P0.65mm,digikey,DNI,DNI,PIC16F19155-I/SS,serial_rtc:PIC16F19155-I{slash}SS,,https://ww1.microchip.com/downloads/en/DeviceDoc/PIC16LF19155-56-75-76-85-86-Data-Sheet-40001923B.pdf,PIC16F19155-I/SS,digikey,PIC16F19155-I/SS-ND,,,
1,U2,Package_SO:TSSOP-16-1EP_4.4x5mm_P0.65mm, LCSC,C19767,MAX3232EUE+T,MAX3232,Interface_UART:MAX3232,,http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Fmax3232,MAX3232EUE+T, LCSC,C19767,,,
1,U3,Package_SO:SOIC-16_3.9x9.9mm_P1.27mm, LCSC,C6521,CD4052BM96,CD4052B,Analog_Switch:CD4052B,,http://www.ti.com/lit/ds/symlink/cd4052b.pdf,CD4052BM96, LCSC,C6521,,,
1,Y1,Crystal:Crystal_C26-LF_D2.1mm_L6.5mm_Horizontal,digikey,DNI,DNI,32.768kHz,Device:Crystal,,http://cfd.citizen.co.jp/cms/cfd/pdf/english/CFS-206_CFS-145_E.pdf,,,,CFS-20632768DZBB,digikey,300-8301-ND
